person_id,id,name,character,role
14770,tm77588,Dewey Robinson,Bouncer at Rick's (uncredited),ACTOR
14771,tm77588,Richard Ryen,Col. Heinz - Strasser's Aide (uncredited),ACTOR
14773,tm77588,Dan Seymour,Abdul (uncredited),ACTOR
14774,tm77588,Lester Sharpe,Refugee (uncredited),ACTOR
14775,tm77588,Dina Smirnova,Woman Customer (uncredited),ACTOR
14776,tm77588,Gerald Oliver Smith,Pickpocketed Englishman (uncredited),ACTOR
14777,tm77588,George Sorel,Native Officer (uncredited),ACTOR
14779,tm77588,Geoffrey Steele,Customer (uncredited),ACTOR
14780,tm77588,Ludwig Stössel,Mr. Leuchtag (uncredited),ACTOR
14782,tm77588,Mike Tellegen,Gambler (uncredited),ACTOR
14781,tm77588,Rafael Trujillo,Man Turning Propeller at Airport (uncredited),ACTOR
14783,tm77588,Jacques Vanaire,Frenchman (uncredited),ACTOR
14785,tm77588,Ellinor Vanderveer,Woman Gambler at Rick's Next to Croupier (uncredited),ACTOR
14717,tm77588,Norma Varden,Wife of Pickpocketed Englishman (uncredited),ACTOR
14715,tm77588,Hans Heinrich von Twardowski,German Officer with Yvonne (uncredited),ACTOR
14784,tm77588,Jack Wise,Waiter (uncredited),ACTOR
14786,tm77588,Wolfgang Zilzer,Man with Expired Papers (uncredited),ACTOR
14787,tm77588,Trude Berliner,Baccarat Player at Rick's (uncredited),ACTOR
14788,tm77588,Paul Porcasi,Native Introducing Ferrari (uncredited),ACTOR
14789,tm77588,Max Linder,Gambler (uncredited),ACTOR
14790,tm77588,Frank Mazzola,Moroccan Boy (uncredited),ACTOR
14791,tm77588,Henry Rowland,German Officer (uncredited),ACTOR
14793,tm77588,Leo White,Emile - Waiter (uncredited),ACTOR
14792,tm77588,Paul Irving,Prosperous Tourist (uncredited),ACTOR
14794,tm77588,Brandon Beach,Guest at Rick's (uncredited),ACTOR
14795,tm77588,Victor Romito,Guest at Rick's (uncredited),ACTOR
22000,tm77588,Michael Mark,Vendor (uncredited),ACTOR
226483,tm77588,Bhogwan Singh,Merchant (uncredited),ACTOR
14797,tm77588,Michael Curtiz,,DIRECTOR
60017,tm155702,Judy Garland,Dorothy Gale,ACTOR
53496,tm155702,Ray Bolger,Hunk / Scarecrow,ACTOR
79549,tm155702,Jack Haley,Hickory / Tin Man,ACTOR
79548,tm155702,Bert Lahr,Zeke / Cowardly Lion,ACTOR
60995,tm155702,Margaret Hamilton,Miss Gulch / Wicked Witch of the West,ACTOR
53493,tm155702,Frank Morgan,Professor Marvel / The Wizard of Oz,ACTOR
79551,tm155702,Clara Blandick,Auntie Em,ACTOR
41661,tm155702,Charley Grapewin,Uncle Henry,ACTOR
72816,tm155702,Billie Burke,Glinda the Good Witch of the North,ACTOR
79553,tm155702,Pat Walshe,Nikko,ACTOR
79554,tm155702,Terry,Toto,ACTOR
6134,tm155702,Adriana Caselotti,Juliet (voice) (uncredited),ACTOR
34566,tm155702,Harry Earles,Lollipop Guild Member (uncredited),ACTOR
79583,tm155702,Jerry Maren,Lollipop Guild Member (uncredited),ACTOR
79600,tm155702,Parnell St. Aubin,Munchkin (uncredited),ACTOR
13768,tm155702,Billy Bletcher,Mayor / Lollipop Guild Member (voice) (uncredited),ACTOR
6139,tm155702,Pinto Colvig,Munchkins (voice) (uncredited),ACTOR
79550,tm155702,Charles Becker,Munchkin Mayor (uncredited),ACTOR
74888,tm155702,Mitchell Lewis,Captain of the Winkie Guard (uncredited),ACTOR
41687,tm155702,Buster Brodie,Winged Monkey (uncredited),ACTOR
